Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Madam, to achieve success at the elite sports level, a systematic and comprehensive approach to identify, nurture and develop TeamSG athletes is important. Broad-based accessible programming that encourages sports participation will be a key part of this approach, as we need a broad participation base from which we can identify and develop sporting talent.",5,769,2023-07-06-T-013-S-00769
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),I personally know how challenging it is to organise such sporting programmes and keep the participation strong.,6,770,2023-07-06-T-013-S-00770
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Years ago, in 2011, I started the Delta League programme. It is now a bi-annual youth engagement programme that aims to engage youths through football and keep them meaningfully occupied during the long June and December school holidays. Jointly organised by the Police and the National Crime Prevention Council (NCPC), there are also talks and activities besides the football clinics and matches that inculcate in our youths a sense of social responsibility, teamwork and discipline.",7,771,2023-07-06-T-013-S-00771
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"The Delta League programme complements several other programmes in our community, including the SportCares initiatives by SportSG. Every year, SportSG also partners different sports organisations to bring about Pesta Sukan. This is the largest multi-sports competition in Singapore designed for the community. It provides an opportunity, too, for amateur sportsmen and women to get together to raise their own standards through competition.",8,772,2023-07-06-T-013-S-00772
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"This year’s Pesta Sukan 2023 will commence from this weekend, 8 July 2023, to National Day at the Singapore Sports Hub.",9,773,2023-07-06-T-013-S-00773
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Madam, I am heartened to highlight that Pesta Sukan features 30 different sports, from able-bodied sports like archery and floorball to para sports like para-athletics, para bowling, as well as sports which are popular among young and old alike, such as pétanque and pickleball.",10,774,2023-07-06-T-013-S-00774
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"The categories of the different sports range from Open, Masters, Youth, Community and Corporate. There are also other sporting activities, such as the Stadium Run and SG Urban Walk Challenge. Basically, my point is that there is a sporting activity for everyone.",11,775,2023-07-06-T-013-S-00775
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"It is important to have events like these to encourage everyone to come together to play sports, regardless of age, ability and background. With more people participating in sports, we can not only have a wider pool to identify sporting talents who can go on to do us proud on the world podium but also cultivate a nation of people who can better appreciate sports, which goes a long way to growing our sporting nation.",12,776,2023-07-06-T-013-S-00776
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"I, therefore, encourage Members of the House to rally your own constituents to participate in the Pesta Sukan activities. We can all join in as participants, as spectators or simply to cheer on our friends and family.",13,777,2023-07-06-T-013-S-00777
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Lastly, let me move on to a sport that has a special place in my heart and, I believe, in the hearts of many Singaporeans – football.",14,778,2023-07-06-T-013-S-00778
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Members will agree with me that it is evident that our football scene requires a lot of work. I note that the Football Association of Singapore (FAS) has commissioned a panel to conduct a review of the team’s performances and will share their findings and recommendations soon. I would, nonetheless, like to give some suggestions on how we can improve the state of our football.",15,779,2023-07-06-T-013-S-00779
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"I start with our lack of dedicated infrastructure and facilities. Unlike some of our neighbouring countries, we have limited training grounds and stadiums equipped with quality football facilities.",16,780,2023-07-06-T-013-S-00780
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Today, as some Members have already highlighted, we cannot even play football at our void decks and many of our neighbourhood school football fields and parks have restricted use. This scarcity restricts the number of local talents that can be groomed and inhibits the organising of more football events and competitions, which then limits the exposure that our players receive. Hence, it is vital for us to invest in the development of infrastructure to provide our athletes with the necessary ecosystem of support and opportunities.",17,781,2023-07-06-T-013-S-00781
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Next, we must improve the way we groom our pipeline of football talents. We need to establish a robust talent scouting and recruitment system to identify early promising players. Only by identifying them early when they are young and by continuously nurturing them can Singapore build a strong pool of players who can contribute to the national team and compete internationally.",18,782,2023-07-06-T-013-S-00782
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"One of the best ways I found in scouting our talents is to search from the grassroots, and the Delta League is one good example. The tournament sees about 2,000 young players every year. And over the years, some of them have been scouted to play at club level and, eventually, some have gone on to train with the national teams. FAS can and should widen its talent scouting and recruitment systems to encompass the many hidden gems in our community. And I welcome the FAS scouts to attend our Delta League matches.",19,783,2023-07-06-T-013-S-00783
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Third, we must also establish strong partnerships with professional clubs and leagues worldwide to help groom our local talents. We need to provide structured avenues for players to join professional academies, participate in overseas training programmes and experience competitive leagues at a higher level.",20,784,2023-07-06-T-013-S-00784
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),Exposing our local players to different playing styles and allowing them to benchmark their abilities against international competitors can help them better develop their own skills and broaden their knowledge of the game.,21,785,2023-07-06-T-013-S-00785
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Madam, regrettably, our local football today is not where we want it to be nor where we can be. By investing in infrastructure, nurturing young talents, promoting collaborations and benchmarking ourselves against successful football nations and, with the support from the Government, relevant stakeholders and the unwavering passion from the football fraternity and fans, we can, no doubt, elevate the standard of football in Singapore once again.",22,786,2023-07-06-T-013-S-00786
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Madam, in conclusion, it is clear from the speeches today that beyond winning medals, sports and our sportsmen and sportswomen play a key role in rallying our communities to come together, support the vulnerable among us and foster national pride and cohesion. I, therefore, support the amended Motion as proposed by the hon Member Darryl David.",23,787,2023-07-06-T-013-S-00787
2023-07-06-T-013,Deputy Speaker,Mdm Deputy Speaker,Order.  I propose to take a break now.,1,788,2023-07-06-T-013-S-00788
2023-07-06-T-013,Deputy Speaker,Mdm Deputy Speaker,Sitting accordingly suspended,2,789,2023-07-06-T-013-S-00789
2023-07-06-T-013,Deputy Speaker,Mdm Deputy Speaker,at 5.09 pm until 5.30 pm.,3,790,2023-07-06-T-013-S-00790
2023-07-06-T-013,Deputy Speaker,Mdm Deputy Speaker,Sitting resumed at 5.30 pm,4,791,2023-07-06-T-013-S-00791
2023-07-06-T-013,Deputy Speaker,Mdm Deputy Speaker,[(proc text) Debate resumed. (proc text)],5,792,2023-07-06-T-013-S-00792
2023-07-06-T-013,Deputy Speaker,Mdm Deputy Speaker,Ms He Ting Ru.,1,793,2023-07-06-T-013-S-00793
2023-07-06-T-013,He Ting Ru,Ms He Ting Ru (Sengkang),"Mdm Deputy Speaker, today, I will speak about the development of Singapore as a sporting nation for all. I believe that sporting success, as the original Motion calls for, should not only be measured in terms of winning medals and doing well in various rankings, but also measured in terms of wider participation in sports across all segments of society.",1,794,2023-07-06-T-013-S-00794
2023-07-06-T-013,He Ting Ru,Ms He Ting Ru (Sengkang),"Specifically, I will talk about how we do on accessibility and participation in sports and how this measurement should form an important part of our national developmental dashboard, an idea I first raised in Parliament in early 2022. I will also touch on inclusion in sports, from how we provide for the mental well-being of our athletes, to the crucial and important role that sports play to work with and support persons with disabilities and also neurodiverse individuals.",2,795,2023-07-06-T-013-S-00795
2023-07-06-T-013,He Ting Ru,Ms He Ting Ru (Sengkang),"SportSG recently released its National Sport Participation Survey (NSPS), which took place for the five years between 2018 and 2022. It tracks sports participation across a few indicators and it is heartening to see that, for once, there appears to be a positive correlation associated with the pandemic  that regular sports participation rates increased to an all-time high of 74% last year. This is clearly an achievement worth celebrating and I hope that this can be maintained.",3,796,2023-07-06-T-013-S-00796
2023-07-06-T-013,He Ting Ru,Ms He Ting Ru (Sengkang),"Yet, we must continue to improve, to look to countries like Norway, where in 2021 a whopping 97% of those aged 16 and above participated in outdoor activities and 86.9% stated that they had participated in various exercise activities.",4,797,2023-07-06-T-013-S-00797
2023-07-06-T-013,He Ting Ru,Ms He Ting Ru (Sengkang),"We should include measures of sporting success as part of a development dashboard tracking our country's holistic development. If we want to shift our focus towards holistic societal well-being rather than keeping a narrow focus on an increasingly outdated measure that is GDP, sports indicators should be one of the first places we should look at.",5,798,2023-07-06-T-013-S-00798
2023-07-06-T-013,He Ting Ru,Ms He Ting Ru (Sengkang),"This is because, one, access to sports needs to be a right for residents in Singapore, especially as it embodies dignity, equality and other values Singaporeans agree should form the core of our society.",6,799,2023-07-06-T-013-S-00799
